[DEBUG][2015-11-12 22:07:09,943][org.springframework.test.context.junit4.SpringJUnit4ClassRunner]SpringJUnit4ClassRunner constructor called with [class com.July.dao.TestUserDao].
[DEBUG][2015-11-12 22:07:10,034][org.springframework.test.context.support.AbstractDelegatingSmartContextLoader]Delegating to GenericXmlContextLoader to process context configuration [ContextConfigurationAttributes@7330f1a2 declaringClass = 'com.July.dao.TestUserDao', locations = '{classpath:spring.xml, classpath:mybaties/spring-mybatis.xml}', classes = '{}', inheritLocations = true, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'].
[DEBUG][2015-11-12 22:07:10,038][org.springframework.test.context.ContextLoaderUtils]Could not find an 'annotation declaring class' for annotation type [org.springframework.test.context.ActiveProfiles] and class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,041][org.springframework.test.context.TestContextManager]@TestExecutionListeners is not present for class [class com.July.dao.TestUserDao]: using defaults.
[DEBUG][2015-11-12 22:07:10,072][org.springframework.test.annotation.ProfileValueUtils]Retrieved @ProfileValueSourceConfiguration [null] for test class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,073][org.springframework.test.annotation.ProfileValueUtils]Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,089][org.springframework.test.annotation.ProfileValueUtils]Retrieved @ProfileValueSourceConfiguration [null] for test class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,090][org.springframework.test.annotation.ProfileValueUtils]Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,093][org.springframework.test.annotation.ProfileValueUtils]Retrieved @ProfileValueSourceConfiguration [null] for test class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,094][org.springframework.test.annotation.ProfileValueUtils]Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,096][org.springframework.test.annotation.ProfileValueUtils]Retrieved @ProfileValueSourceConfiguration [null] for test class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,097][org.springframework.test.annotation.ProfileValueUtils]Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,101][org.springframework.test.annotation.ProfileValueUtils]Retrieved @ProfileValueSourceConfiguration [null] for test class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,102][org.springframework.test.annotation.ProfileValueUtils]Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [com.July.dao.TestUserDao]
[DEBUG][2015-11-12 22:07:10,106][org.springframework.test.context.support.DependencyInjectionTestExecutionListener]Performing dependency injection for test context [[TestContext@36930021 testClass = TestUserDao, testInstance = com.July.dao.TestUserDao@6ced9284, testMethod = [null], testException = [null], mergedContextConfiguration = [MergedContextConfiguration@612e4ffa testClass = TestUserDao, locations = '{classpath:spring.xml, classpath:mybaties/spring-mybatis.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]].
[DEBUG][2015-11-12 22:07:10,110][org.springframework.test.context.support.AbstractDelegatingSmartContextLoader]Delegating to GenericXmlContextLoader to load context from [MergedContextConfiguration@612e4ffa testClass = TestUserDao, locations = '{classpath:spring.xml, classpath:mybaties/spring-mybatis.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]].
